ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2018-05-01T00:00:00.000000000Z,35,2,6348,160.900000000,164.000000000,160.150000000,163.590000000,9635220,QQQ
2018-05-01T00:00:00.000000000Z,35,2,5557,224.300000000,228.730000000,222.200000000,228.500000000,1926596,NVDA
2018-05-01T00:00:00.000000000Z,35,2,13,166.400000000,178.000000000,165.270000000,175.200000000,13282876,AAPL
2018-05-01T00:00:00.000000000Z,35,2,7177,264.570000000,265.520000000,262.110000000,265.380000000,12166986,SPY
2018-05-01T00:00:00.000000000Z,35,2,7015,17.600000000,18.250000000,17.550000000,18.250000000,71302,SMCI
2018-05-01T00:00:00.000000000Z,35,2,3362,1018.000000000,1043.710000000,1008.240000000,1038.700000000,554852,GOOG
2018-05-01T00:00:00.000000000Z,35,2,3363,1022.000000000,1045.000000000,1010.550000000,1039.000000000,616922,GOOGL
2018-05-01T00:00:00.000000000Z,35,2,5156,94.460000000,95.500000000,92.790000000,95.330000000,9935579,MSFT
2018-05-01T00:00:00.000000000Z,35,2,7661,296.640000000,301.050000000,292.500000000,301.050000000,1533098,TSLA
2018-05-01T00:00:00.000000000Z,35,2,2687,171.500000000,174.780000000,170.230000000,174.170000000,6359532,FB
2018-05-01T00:00:00.000000000Z,35,2,5139,19.880000000,20.360000000,19.800000000,20.360000000,971346,MRVL
2018-05-01T00:00:00.000000000Z,35,2,601,230.150000000,235.850000000,226.360000000,234.000000000,1282397,AVGO
2018-05-01T00:00:00.000000000Z,35,2,375,1566.130000000,1590.980000000,1552.180000000,1588.000000000,1266640,AMZN
2018-05-02T00:00:00.000000000Z,35,2,601,233.900000000,234.200000000,226.800000000,228.210000000,1716058,AVGO
2018-05-02T00:00:00.000000000Z,35,2,375,1592.000000000,1594.500000000,1566.600000000,1568.600000000,1324244,AMZN
2018-05-02T00:00:00.000000000Z,35,2,7180,265.270000000,265.680000000,262.360000000,262.710000000,12409460,SPY
2018-05-02T00:00:00.000000000Z,35,2,13,174.920000000,177.750000000,173.660000000,176.500000000,16471381,AAPL
2018-05-02T00:00:00.000000000Z,35,2,3363,1042.100000000,1042.100000000,1022.500000000,1023.950000000,609027,GOOG
2018-05-02T00:00:00.000000000Z,35,2,7664,300.470000000,311.640000000,282.220000000,287.500000000,2633264,TSLA
2018-05-02T00:00:00.000000000Z,35,2,5140,20.310000000,20.630000000,20.230000000,20.510000000,1195357,MRVL
2018-05-02T00:00:00.000000000Z,35,2,5558,228.060000000,228.800000000,225.260000000,225.620000000,1834739,NVDA
2018-05-02T00:00:00.000000000Z,35,2,2688,174.900000000,178.090000000,173.630000000,176.180000000,8976440,FB
2018-05-02T00:00:00.000000000Z,35,2,6350,163.600000000,163.690000000,161.350000000,161.550000000,8305995,QQQ
2018-05-02T00:00:00.000000000Z,35,2,3364,1044.000000000,1044.000000000,1023.000000000,1026.250000000,727676,GOOGL
2018-05-02T00:00:00.000000000Z,35,2,5157,95.250000000,95.590000000,93.110000000,93.470000000,9481302,MSFT
2018-05-02T00:00:00.000000000Z,35,2,7018,18.250000000,18.300000000,17.900000000,17.950000000,84903,SMCI
2018-05-03T00:00:00.000000000Z,35,2,375,1571.000000000,1575.000000000,1546.010000000,1571.600000000,1188597,AMZN
2018-05-03T00:00:00.000000000Z,35,2,7668,289.150000000,290.500000000,275.250000000,283.000000000,5273989,TSLA
2018-05-03T00:00:00.000000000Z,35,2,3364,1027.210000000,1029.680000000,1006.480000000,1024.520000000,654114,GOOG
2018-05-03T00:00:00.000000000Z,35,2,602,228.010000000,228.010000000,222.680000000,225.000000000,1722555,AVGO
2018-05-03T00:00:00.000000000Z,35,2,5560,229.950000000,234.080000000,225.740000000,233.300000000,3171459,NVDA
2018-05-03T00:00:00.000000000Z,35,2,6352,161.930000000,162.420000000,159.230000000,161.820000000,13342156,QQQ
2018-05-03T00:00:00.000000000Z,35,2,5143,20.220000000,20.880000000,19.430000000,20.840000000,3697599,MRVL
2018-05-03T00:00:00.000000000Z,35,2,5160,93.510000000,94.925000000,92.450000000,94.400000000,11153765,MSFT
2018-05-03T00:00:00.000000000Z,35,2,7184,263.390000000,263.450000000,259.050000000,262.560000000,23936504,SPY
2018-05-03T00:00:00.000000000Z,35,2,3365,1026.310000000,1030.780000000,1007.830000000,1025.000000000,675135,GOOGL
2018-05-03T00:00:00.000000000Z,35,2,2689,176.120000000,176.500000000,172.120000000,174.350000000,7247711,FB
2018-05-03T00:00:00.000000000Z,35,2,13,176.200000000,177.500000000,174.460000000,176.900000000,10238793,AAPL
2018-05-03T00:00:00.000000000Z,35,2,7021,18.000000000,20.500000000,17.700000000,19.250000000,134418,SMCI
2018-05-04T00:00:00.000000000Z,35,2,7189,263.180000000,266.780000000,261.150000000,266.440000000,13385187,SPY
2018-05-04T00:00:00.000000000Z,35,2,7672,284.400000000,296.790000000,279.500000000,293.970000000,2406179,TSLA
2018-05-04T00:00:00.000000000Z,35,2,3368,1026.000000000,1051.870000000,1018.070000000,1050.700000000,649029,GOOGL
2018-05-04T00:00:00.000000000Z,35,2,5564,233.090000000,239.990000000,231.160000000,239.990000000,2992036,NVDA
2018-05-04T00:00:00.000000000Z,35,2,7026,19.950000000,21.600000000,19.700000000,21.200000000,299148,SMCI
2018-05-04T00:00:00.000000000Z,35,2,5164,94.150000000,95.365000000,92.920000000,95.290000000,7266049,MSFT
2018-05-04T00:00:00.000000000Z,35,2,6356,162.210000000,165.250000000,160.990000000,165.050000000,10522766,QQQ
2018-05-04T00:00:00.000000000Z,35,2,2692,174.000000000,176.980000000,173.060000000,176.750000000,5020678,FB
2018-05-04T00:00:00.000000000Z,35,2,3367,1022.500000000,1048.500000000,1016.900000000,1047.000000000,615477,GOOG
2018-05-04T00:00:00.000000000Z,35,2,602,224.550000000,232.040000000,221.940000000,231.500000000,1988227,AVGO
2018-05-04T00:00:00.000000000Z,35,2,13,177.950000000,184.250000000,177.480000000,184.100000000,14555212,AAPL
2018-05-04T00:00:00.000000000Z,35,2,5147,20.700000000,21.310000000,20.550000000,21.250000000,1934309,MRVL
2018-05-04T00:00:00.000000000Z,35,2,375,1573.980000000,1584.950000000,1562.130000000,1581.000000000,1047230,AMZN
2018-05-07T00:00:00.000000000Z,35,2,602,231.310000000,236.750000000,231.000000000,235.490000000,1432957,AVGO
2018-05-07T00:00:00.000000000Z,35,2,5163,95.400000000,96.700000000,95.100000000,96.080000000,6820004,MSFT
2018-05-07T00:00:00.000000000Z,35,2,3368,1055.000000000,1065.220000000,1050.640000000,1058.010000000,573310,GOOGL
2018-05-07T00:00:00.000000000Z,35,2,373,1590.000000000,1606.940000000,1580.950000000,1597.700000000,1103605,AMZN
2018-05-07T00:00:00.000000000Z,35,2,7025,21.400000000,23.350000000,21.400000000,23.100000000,216191,SMCI
2018-05-07T00:00:00.000000000Z,35,2,7671,293.380000000,305.950000000,293.250000000,303.980000000,2483109,TSLA
2018-05-07T00:00:00.000000000Z,35,2,3367,1049.260000000,1061.610000000,1047.460000000,1054.900000000,491548,GOOG
2018-05-07T00:00:00.000000000Z,35,2,5146,21.500000000,21.500000000,20.745000000,20.800000000,2242289,MRVL
2018-05-07T00:00:00.000000000Z,35,2,13,184.450000000,187.660000000,184.250000000,185.000000000,9981580,AAPL
2018-05-07T00:00:00.000000000Z,35,2,5563,239.800000000,250.990000000,239.800000000,249.430000000,4680729,NVDA
2018-05-07T00:00:00.000000000Z,35,2,6355,165.660000000,166.780000000,165.510000000,166.010000000,8387726,QQQ
2018-05-07T00:00:00.000000000Z,35,2,7188,266.620000000,268.020000000,266.110000000,266.580000000,8848556,SPY
2018-05-07T00:00:00.000000000Z,35,2,2692,176.620000000,179.500000000,176.620000000,177.920000000,5465619,FB
2018-05-08T00:00:00.000000000Z,35,2,7671,303.000000000,307.750000000,299.000000000,301.800000000,1511079,TSLA
2018-05-08T00:00:00.000000000Z,35,2,5163,96.220000000,96.220000000,95.070000000,95.800000000,7497633,MSFT
2018-05-08T00:00:00.000000000Z,35,2,13,184.350000000,186.220000000,183.670000000,186.000000000,7398369,AAPL
2018-05-08T00:00:00.000000000Z,35,2,602,235.900000000,239.110000000,234.860000000,239.110000000,1716412,AVGO
2018-05-08T00:00:00.000000000Z,35,2,7025,22.950000000,24.000000000,22.800000000,24.000000000,106368,SMCI
